_id,dataset,length_bucket,zero_gen_tokens,original_gen_tokens,original_minus_zero_tokens,zero_score,original_score,original_minus_zero_score,zero_copy_ratio,original_copy_ratio,zero_explanation,original_explanation,zero_empty_or_missing,original_empty_or_missing
1847319eac798af8c285ad27bb4d446fb438ae2c01f5c3a7,repobench-p_e,8k+,25,25,0,0.00000000,0.00000000,0.00000000,0.75000000,0.75000000,1,1,0,0
1893a577539617a31f49735422c235b4db2b8e84f3d7c3c3,samsum_e,8k+,14,9,-5,0.15384615,0.09090909,-0.06293706,0.63636364,0.71428571,0,0,0,0
192744c2c14f9572bfc3d71ced42504e69ccf49d2ec9d39a,lcc_e,8k+,91,82,-9,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,0
196b9a04e7094ea26773c644198b96abd263bc6c4b59fb56,hotpotqa_e,8k+,11,5,-6,0.20000000,1.00000000,0.80000000,1.00000000,0.25000000,0,0,0,0
19ce7eea60fb00ea9e13296e05d1b64301152439fb8a88f2,lcc_e,8k+,9,9,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,0
1a276604ab10692c64480e83d99a53c121f3dca26d05e5ff,passage_count_e,0-4k,3,3,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,0
1a4e9b1218353f3e3aa39ade5cdb8e7ba1a08cad6371a751,samsum_e,8k+,2048,2048,0,0.00980392,0.01089325,0.00108932,0.57110987,0.57166760,0,0,0,0
1aa7aac093fccb8c81b386b732131d7369ea691d6fde9a49,passage_count_e,0-4k,2048,2048,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1,1,0,0
1acac2b501c918db8649deb5d075095b32a6c6eab6541f69,2wikimqa_e,4k-8k,5,5,0,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0,0,0,0
1b686413964841c81ac3906d53cd4583c834f38b7a417676,passage_count_e,0-4k,3,3,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,0
1b9be121d18a7cb78e9a92589a08d546467d40f05b9103d5,hotpotqa_e,8k+,12,12,0,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0,0,0,0
1ba3c7d2289f41ae19e49e96698a80a4bcf5497d520dbc87,passage_count_e,8k+,2048,2048,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,0
1bbf6375f98efb9be3b8e91039a20691117815e9c23c465a,gov_report_e,4k-8k,106,2048,1942,0.10769231,0.03757044,-0.07012186,0.00000000,0.00000000,1,0,0,0
1bd857782a24a8f5d1f53bc514beea66bc1586a9767c5f62,multi_news_e,0-4k,141,151,10,0.13888889,0.15217391,0.01328502,0.00000000,0.00000000,0,0,0,0
1bd9a082bd7b5ab6c152dbda3db38c0c3bc92cddf82383a3,qasper_e,0-4k,9,5,-4,0.50000000,0.26666667,-0.23333333,0.00000000,0.00000000,0,0,0,0
1be41635f109463aad4ac2d71b524edcbdeabced54a0cdc3,triviaqa_e,8k+,6,6,0,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0,0,0,0
1c449ce36cc85ff8d217a13b0d2762600b6bd40382f769d0,multi_news_e,4k-8k,2048,2048,0,0.06654676,0.06654676,0.00000000,0.00000000,0.00000000,0,0,0,0
1d03483680feacd45ac2d98f45ad6d7da6602b225d4170c8,trec_e,0-4k,2048,19,-2029,0.00000000,0.00000000,0.00000000,0.00097561,0.44444444,0,0,0,0
1d46294ee8fcc0a64828778b04198fcbe4f75841775e1205,multifieldqa_en_e,8k+,14,14,0,0.57142857,0.57142857,0.00000000,0.77777778,0.77777778,0,0,0,0
1d74cf15feae9302442102605c3838418f99b746b992ae00,qasper_e,4k-8k,4,4,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,0
1dae9ec530a93f43f85bd215a5c0e6737dbcf226cd3541d8,hotpotqa_e,4k-8k,5,5,0,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0,0,0,0
1e32138890907e004b364bafa16ceb3e1bacb44cce9f55c2,samsum_e,8k+,13,13,0,0.28571429,0.28571429,0.00000000,1.00000000,1.00000000,0,0,0,0
1ed76938cedc5b6d40b0ed90820994457cdd68365fc99df9,samsum_e,0-4k,2048,10,-2038,0.01153569,0.44444444,0.43290876,0.83174835,0.85714286,0,0,0,0
1ee1da1f940c225dc962b4d1bcc9097a4b58516d36a09350,triviaqa_e,0-4k,3,3,0,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0,0,0,0
1fb3a58424e2d55f1d93079cfb842d97d2f3f42b5b36101a,samsum_e,8k+,12,9,-3,0.39024390,0.15384615,-0.23639775,1.00000000,0.71428571,0,0,0,0
1fccb4eae037cddd1d47838eec23335d30627ee193d488d4,hotpotqa_e,8k+,5,5,0,1.00000000,1.00000000,0.00000000,0.66666667,0.66666667,0,0,0,0
200c2fc3a21636526a740d1b20d357aafb5abbb7a9fea050,repobench-p_e,8k+,15,16,1,0.00000000,0.00000000,0.00000000,0.66666667,0.00000000,0,0,0,0
2036210c582c207ea1c73b805810940c96d93637594bcedd,gov_report_e,8k+,2048,2048,0,0.16834171,0.16834171,0.00000000,0.00000000,0.00000000,0,0,0,0
2058adb1a1542341e3df181bcca1c789a8ed960a2bba0e97,passage_count_e,8k+,3,3,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,0
20805632774864599776db2756dd833bf77890b1b9bc29be,gov_report_e,4k-8k,2048,2048,0,0.08975610,0.09064327,0.00088718,0.00000000,0.00000000,0,0,0,0
20c4969159193b8834b5a24760c6929c0a8fd2a78534146c,passage_retrieval_en_e,8k+,4,4,0,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0,0,0,0
21c2f78a7e1b691f6d4ef789173f793c9f5cdec5d0dc65fc,trec_e,0-4k,2,2,0,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0,0,0,0
21c59f105a9c8a999757df4f3c7329cfe58e7bec4640f1be,passage_retrieval_en_e,8k+,5,5,0,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0,0,0,0
22670523b69fec669cb2cd374ac8b1e71bc151223b520314,passage_retrieval_en_e,8k+,5,5,0,1.00000000,0.00000000,-1.00000000,0.00000000,0.00000000,0,0,0,0
229813fd42feee3e7b2aac3de3ada57331ab038272eba2e1,samsum_e,0-4k,37,37,0,0.16393443,0.16393443,0.00000000,1.00000000,1.00000000,0,0,0,0
22f5aea8b6300db6b50933d82d5cd686b36e251c2bb8fff7,repobench-p_e,8k+,12,12,0,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0,0,0,0
2332b1a0569df7051e4f8442139c2dbbdf7b27bf1ef7cd16,lcc_e,0-4k,17,2048,2031,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,0
