layer,cache,component,shape,numel,mean,std,min,max,abs_mean,rms,p01,p50,p99,zero_fraction,residual_to_receiver_rms
11,receiver,V,1x8x50x128,51200,-0.014885129407048225,1.1192171573638916,-18.375,21.5,0.7278023362159729,1.1193161010742188,-3.0,-0.00287628173828125,2.703125,0.0,
11,fused,V,1x8x50x128,51200,-0.014885129407048225,1.1192171573638916,-18.375,21.5,0.7278023362159729,1.1193161010742188,-3.0,-0.00287628173828125,2.703125,0.0,
11,fused_minus_receiver,V,1x8x50x128,51200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12,receiver,K,1x8x50x128,51200,0.01691664569079876,2.9463226795196533,-56.0,49.0,1.2232056856155396,2.946371078491211,-5.625312805175781,0.00439453125,5.75,0.0001367187505820766,
12,fused,K,1x8x50x128,51200,0.01691664569079876,2.9463226795196533,-56.0,49.0,1.2232056856155396,2.946371078491211,-5.625312805175781,0.00439453125,5.75,0.0001367187505820766,
12,fused_minus_receiver,K,1x8x50x128,51200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12,receiver,V,1x8x50x128,51200,-0.00906295608729124,1.8047995567321777,-38.0,40.25,0.9118025898933411,1.8048222064971924,-4.46875,0.004730224609375,3.765625,0.0,
12,fused,V,1x8x50x128,51200,-0.008844366297125816,1.9313429594039917,-35.25,37.0,0.9597643613815308,1.9313632249832153,-5.09375,0.00247955322265625,4.3441162109375,1.9531249563442543e-05,
12,fused_minus_receiver,V,1x8x50x128,51200,0.00021326213027350605,0.7664268612861633,-14.75,18.25,0.20702001452445984,0.7664268612861633,-1.6875,0.0,1.54705810546875,0.027753906324505806,0.4246550483073057
13,receiver,K,1x8x50x128,51200,0.000653307419270277,1.8461909294128418,-21.5,23.875,1.1551064252853394,1.8461908102035522,-6.0625,-0.0009613037109375,5.5,0.00015624999650754035,
